Data,Value
2012-01-09,26375
2012-01-10,26374
2012-01-11,26476
2012-01-13,26464
2012-01-16,26436
2012-01-17,26452
2012-01-18,26447
2012-01-19,26446
2012-01-20,26540
2012-01-21,26500
2012-01-23,26505
2012-01-24,26606
2012-01-25,26593
2012-01-26,26563
2012-01-30,26562
2012-01-31,26572
2012-02-01,26569
2012-02-02,26566
2012-02-03,26568
2012-02-06,26567
2012-02-07,26582
2012-02-09,26583
2012-02-10,26586
2012-02-15,26597
2012-02-16,26501
2012-02-17,26512
2012-02-20,26537
2012-02-21,26570
2012-02-22,26562
2012-02-24,26557
2012-02-27,26565
2012-02-28,26557
2012-02-29,26493
2012-03-01,26487
2012-03-02,26471
2012-03-05,26437
2012-03-06,26466
2012-03-07,26469
2012-03-11,26481
2012-03-12,26425
2012-03-14,26430
2012-03-15,26429
2012-03-16,26431
2012-03-19,26473
2012-03-20,26473
2012-03-21,26471
2012-03-22,26427
2012-03-23,26427
2012-03-24,26425
2012-03-26,26424
2012-03-27,26424
2012-03-28,26423
2012-03-29,26419
2012-03-30,26409
2012-03-31,26399
2012-04-02,26397
2012-04-03,26366
2012-04-04,26431
2012-04-05,26421
2012-04-06,26418
2012-04-09,26406
2012-04-10,26405
2012-04-11,26402
2012-04-12,26385
2012-04-13,26384
2012-04-14,26388
2012-04-16,26383
2012-04-17,26371
2012-04-18,26322
2012-04-19,26320
2012-04-20,26320
2012-04-23,26230
2012-04-24,26215
2012-04-25,26197
2012-04-26,26161
2012-04-27,26168
2012-04-28,26177
2012-05-02,26181
2012-05-03,26174
2012-05-05,26172
2012-05-10,26176
2012-05-11,26183
2012-05-12,26182
2012-05-14,26180
2012-05-15,26176
2012-05-16,26175
2012-05-17,26186
2012-05-18,26180
2012-05-21,26165
2012-05-22,26238
2012-05-23,26243
2012-05-24,26275
2012-05-25,26296
2012-05-28,26319
2012-05-29,26323
2012-05-30,26347
2012-05-31,26381
2012-06-01,26388
2012-06-02,26390
2012-06-04,26400
2012-06-05,26423
2012-06-06,26437
2012-06-07,26451
2012-06-08,26544
2012-06-09,26594
2012-06-10,26597
2012-06-13,26654
2012-06-14,26681
2012-06-15,26712
2012-06-18,26765
2012-06-19,26809
2012-06-20,26837
2012-06-21,26848
2012-06-22,26825
2012-06-25,26863
2012-06-27,26901
2012-06-28,27008
2012-06-29,27017
2012-07-02,27065
2012-07-03,27150
2012-07-04,27142
2012-07-05,27155
2012-07-06,27148
2012-07-09,27154
2012-07-10,27158
2012-07-11,27170
2012-07-12,27177
2012-07-13,27178
2012-07-16,27159
2012-07-17,27183
2012-07-18,27226
2012-07-19,27213
2012-07-20,27217
2012-07-23,27226
2012-07-24,27235
2012-07-25,27366
2012-07-26,27301
2012-07-27,27296
2012-07-30,27308
2012-07-31,27312
2012-08-01,27341
2012-08-02,27351
2012-08-03,27357
2012-08-06,27388
2012-08-07,27443
2012-08-08,27524
2012-08-09,27575
2012-08-10,27608
2012-08-13,27593
2012-08-14,27602
2012-08-15,27601
2012-08-16,27610
2012-08-17,27602
2012-08-20,27600
2012-08-21,27623
2012-08-22,27624
2012-08-23,27628
2012-08-24,27676
2012-08-27,27636
2012-08-28,27653
2012-08-29,27705
2012-08-30,27701
2012-08-31,27681
2012-09-03,27684
2012-09-04,27698
2012-09-05,27798
2012-09-07,27760
2012-09-10,27751
2012-09-11,27676
2012-09-12,27656
2012-09-13,27644
2012-09-14,27629
2012-09-15,27620
2012-09-17,27613
2012-09-18,27595
2012-09-19,27599
2012-09-20,27590
2012-09-21,27595
